x,y,z,pitch,yaw,ok,err
0.25,-0.2,0.08,0.0,-0.6,0,0.1021660169175075
0.25,-0.2,0.08,0.0,-0.3,0,0.3019346166443619
0.25,-0.2,0.08,0.0,0.0,0,0.19326352609579317
0.25,-0.2,0.08,0.0,0.3,0,0.003375768294857645
0.25,-0.2,0.08,0.0,0.6,0,0.13475419491231994
0.25,-0.2,0.08,0.225,-0.6,0,0.04936988597840066
0.25,-0.2,0.08,0.225,-0.3,1,6.923433848736957e-05
0.25,-0.2,0.08,0.225,0.0,1,8.548711173775473e-05
0.25,-0.2,0.08,0.225,0.3,1,7.98435012061004e-05
0.25,-0.2,0.08,0.225,0.6,1,5.083260333584096e-05
0.25,-0.2,0.08,0.45,-0.6,1,9.967900152524496e-05
0.25,-0.2,0.08,0.45,-0.3,1,9.335904444010424e-05
0.25,-0.2,0.08,0.45,0.0,1,9.845421571214665e-05
0.25,-0.2,0.08,0.45,0.3,1,8.387657659036682e-05
0.25,-0.2,0.08,0.45,0.6,1,8.703375419143429e-05
0.25,-0.2,0.08,0.675,-0.6,1,5.861642846678272e-05
0.25,-0.2,0.08,0.675,-0.3,1,6.171472357013778e-05
0.25,-0.2,0.08,0.675,0.0,1,7.358595117231471e-05
0.25,-0.2,0.08,0.675,0.3,1,9.943461522432598e-05
0.25,-0.2,0.08,0.675,0.6,1,7.672185115789254e-05
0.25,-0.2,0.08,0.9,-0.6,1,7.044108222781154e-05
0.25,-0.2,0.08,0.9,-0.3,1,7.915301694768012e-05
0.25,-0.2,0.08,0.9,0.0,1,5.953866518498888e-05
0.25,-0.2,0.08,0.9,0.3,1,5.763699771866558e-05
0.25,-0.2,0.08,0.9,0.6,1,8.705670634777416e-05
0.25,-0.2,0.08,1.2,-0.6,1,8.923238001732563e-05
0.25,-0.2,0.08,1.2,-0.3,1,5.518119002485573e-05
0.25,-0.2,0.08,1.2,0.0,1,6.363861506861125e-05
0.25,-0.2,0.08,1.2,0.3,1,6.918073948960224e-05
0.25,-0.2,0.08,1.2,0.6,1,6.313062501747655e-05
0.25,-0.2,0.08,1.57,-0.6,1,5.961329482179903e-05
0.25,-0.2,0.08,1.57,-0.3,1,8.76331246472338e-05
0.25,-0.2,0.08,1.57,0.0,1,5.2713761323373574e-05
0.25,-0.2,0.08,1.57,0.3,1,6.084447824357468e-05
0.25,-0.2,0.08,1.57,0.6,1,8.030119166517148e-05
0.25,-0.2,0.12,0.0,-0.6,0,0.1108909436649075
0.25,-0.2,0.12,0.0,-0.3,0,0.261049325580769
0.25,-0.2,0.12,0.0,0.0,1,9.833141733780096e-05
0.25,-0.2,0.12,0.0,0.3,0,0.0033901226566324487
0.25,-0.2,0.12,0.0,0.6,0,0.13462546846669463
0.25,-0.2,0.12,0.225,-0.6,1,9.34810200354353e-05
0.25,-0.2,0.12,0.225,-0.3,1,7.302988317221117e-05
0.25,-0.2,0.12,0.225,0.0,1,6.0615820089957174e-05
0.25,-0.2,0.12,0.225,0.3,1,5.4515635655550334e-05
0.25,-0.2,0.12,0.225,0.6,0,0.01959547624207663
0.25,-0.2,0.12,0.45,-0.6,1,9.697814652229662e-05
0.25,-0.2,0.12,0.45,-0.3,1,9.281898231969921e-05
0.25,-0.2,0.12,0.45,0.0,1,9.673575489318128e-05
0.25,-0.2,0.12,0.45,0.3,1,8.166766673843112e-05
0.25,-0.2,0.12,0.45,0.6,1,6.825394494358512e-05
0.25,-0.2,0.12,0.675,-0.6,1,5.851217526645465e-05
0.25,-0.2,0.12,0.675,-0.3,1,6.24825160025451e-05
0.25,-0.2,0.12,0.675,0.0,1,7.647594446757315e-05
0.25,-0.2,0.12,0.675,0.3,1,5.489449500388114e-05
0.25,-0.2,0.12,0.675,0.6,1,8.010064770223837e-05
0.25,-0.2,0.12,0.9,-0.6,1,7.034885639801937e-05
0.25,-0.2,0.12,0.9,-0.3,1,8.019276493793269e-05
0.25,-0.2,0.12,0.9,0.0,1,6.16202218401463e-05
0.25,-0.2,0.12,0.9,0.3,1,6.493046879146432e-05
0.25,-0.2,0.12,0.9,0.6,1,5.782255404008645e-05
0.25,-0.2,0.12,1.2,-0.6,1,8.872539560564574e-05
0.25,-0.2,0.12,1.2,-0.3,1,5.4826979906201056e-05
