lx,ly,lz,x,pitch,geom_ok,geom_fail,reach,pad_xy_err_mm,insertion_mm,knock_mm
0.03,0.03,0.05,0.3,1.4,False,DEPTH,True,3.5,14.5,0.0
0.03,0.03,0.05,0.34,1.4,False,PAD_OFF,True,35.8,14.5,0.0
0.03,0.03,0.05,0.38,1.4,False,PAD_OFF,True,75.1,14.6,0.0
0.03,0.03,0.05,0.42,1.4,False,PAD_OFF,True,97.1,15.2,0.0
0.04,0.04,0.05,0.3,1.4,False,DEPTH,True,3.5,14.5,0.0
0.04,0.04,0.05,0.34,1.4,False,PAD_OFF,True,35.8,14.5,0.0
0.04,0.04,0.05,0.38,1.4,False,PAD_OFF,True,75.1,14.6,0.0
0.04,0.04,0.05,0.42,1.4,False,PAD_OFF,True,97.1,15.2,0.0
0.05,0.05,0.05,0.3,1.4,False,DEPTH,True,3.5,14.5,0.0
0.05,0.05,0.05,0.34,1.4,False,PAD_OFF,True,35.8,14.5,0.0
0.05,0.05,0.05,0.38,1.4,False,PAD_OFF,True,75.1,14.6,0.0
0.05,0.05,0.05,0.42,1.4,False,PAD_OFF,True,97.1,15.2,0.0
0.03,0.03,0.08,0.3,1.2,True,,True,2.2,41.8,0.0
0.03,0.03,0.08,0.34,1.2,False,PAD_OFF,True,36.8,42.7,0.0
0.03,0.03,0.08,0.38,1.2,False,PAD_OFF,True,76.2,42.7,0.0
0.03,0.03,0.08,0.42,1.2,False,PAD_OFF,True,115.5,42.7,0.0
0.04,0.04,0.08,0.3,1.2,True,,True,2.2,41.8,0.0
0.04,0.04,0.08,0.34,1.2,False,PAD_OFF,True,36.8,42.7,0.0
0.04,0.04,0.08,0.38,1.2,False,PAD_OFF,True,76.2,42.7,0.0
0.04,0.04,0.08,0.42,1.2,False,PAD_OFF,True,115.5,42.7,0.0
0.05,0.05,0.08,0.3,1.2,True,,True,2.2,41.8,0.0
0.05,0.05,0.08,0.34,1.2,False,PAD_OFF,True,36.8,42.7,0.0
0.05,0.05,0.08,0.38,1.2,False,PAD_OFF,True,76.2,42.7,0.0
0.05,0.05,0.08,0.42,1.2,False,PAD_OFF,True,115.5,42.7,0.0
